sub_factor,sub_factor_label,factor,system
mortality,Mortality,mortality,mortality
acute_malnutrition,Acute Malnutrition,nutrition_status,health_outcomes
common_childhood_illnesses,Common childhood illnesses,health_status,health_outcomes
infectious_disease_outbreaks,Infectious disease outbreaks,health_status,health_outcomes
population_health_needs,Population health needs,health_status,health_outcomes
individual_consumption,Individual consumption,food_consumption,food_systems
hh_consumption,HH consumption,food_consumption,food_systems
food_availability,Food availability,hh_food_security,food_systems
food_accessibility,Food accessibility,hh_food_security,food_systems
food_utilisation,Food utilisation,hh_food_security,food_systems
food_consumption,Food consumption,hh_food_security,food_systems
water_quantity,Water quantity,hh_water_consumption,water_systems
water_quality,Water quality,hh_water_consumption,water_systems
water_availability,Water availability,hh_water_security,water_systems
water_access,Water access,hh_water_security,water_systems
water_utilisation,Water utilisation,hh_water_security,water_systems
water_consumption,Water consumption,hh_water_security,water_systems
water_quality,Water quality,hh_water_security,water_systems
exposure_to_elements,Exposure to elements,living_conditions,living_conditions
protection_from_vectors,Protection from vectors,living_conditions,living_conditions
overcrowding,Overcrowding,living_conditions,living_conditions
availability,Availability,water_systems_infrastructure,water_systems
accessibility,Accessibility,water_systems_infrastructure,water_systems
quality,Quality,water_systems_infrastructure,water_systems
availability,Availability,sanitation_hygiene,living_conditions
accessibility,Accessibility,sanitation_hygiene,living_conditions
quality,Quality,sanitation_hygiene,living_conditions
accessibility,Accessibility,market_functionality,market_functionality
functionality,Functionality,market_functionality,market_functionality
availability,Availability,market_functionality,market_functionality
availability,Availability,health_nutrition_services,health_nutrition_services
accessibility,Accessibility,health_nutrition_services,health_nutrition_services
quality_health_and_nutrition,Quality (Health and Nutrition),health_nutrition_services,health_nutrition_services
access_to_nutrition,Access to nutrition,health_nutrition_services,health_nutrition_services
